stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,59.47,1.41,0,0.28,0.56,0,0,0,0,0,0
21Day,0,0,1.11,0.74,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,25.16,1.85,0.74,0,0,0,0,0.37,0.37,0,0.37
3Month,0,0.1,0.83,0,0,0,0.1,0.1,0,1.87,0.31,0.31,0,0.83,0.31,0.31,0.1,0.1,0,0.1,1.25,0,0.42,0.31,0,0.1,0.21,0,0,0.52,0.52
22Month,0,0.68,0.82,0,0.14,0.14,0,0.68,0.27,8.75,0.55,0.68,0.14,0.27,0.27,1.5,0,0.14,0.27,0,0.82,0,1.37,0,0,0,0.55,0.14,0,0,0.55
