stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,1,0,0,3,0,0
72hpf,0,0,0.28,0.56,0.28,14.66,2.54,0.28,1.13
21Day,0.37,0,0.37,1.85,0,7.4,1.11,0,0
22Month,0.14,0.27,0,0.27,0,0,0,0,0
