stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.85,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.56,1.41,0.56,0,0,0,0,3.95,1.41,0,0,0,0.56,0,0.28,0,9.02,0.28,0,0,0,0
21Day,0.37,0,2.96,0,2.96,0,0.74,0,0,0,0,0,0,2.59,0,0.37,0.74,2.22,1.48,0,0,0.74,0,3.7,1.11,0,0,0,0.37,1.11,0,0,88.06,1.48,0,0,0,1.11
3Month,0.21,0.21,1.35,0,0,0,0,0.1,0.21,36.41,0,2.08,4.06,1.46,0.73,0,1.04,8.43,1.04,0.1,0,0,0.21,0.21,0,0.1,0,0,0.21,0.52,8.84,0,2.91,0.1,0.83,0.21,2.81,2.7
22Month,0.27,0.55,2.19,0,0,0.55,0.41,0,0.27,41.68,0.27,6.01,2.87,0.96,0.96,0.14,0.41,6.56,1.09,0.14,0.27,0,0,0.41,0.14,0,0.14,0.14,0.27,0,18.58,0.41,59.03,0,0.96,0,0.14,1.23
