stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0.56,0,0,0,0,0
21Day,0.37,0.74,0.37,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0.62,0,0.73,0.52,0.21,0,0.73,0,0.31,0,0.1,0.31,0,0.1,0.1,0,0,0
22Month,0.27,0.55,0,0.55,0.55,1.64,0.14,3.01,0.27,0.55,0.68,0,0.14,0,0,0,0.27,0.14,0.14
