stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,1.85,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.1,1.98,0,0,0.1,0.21,0.73,0,2.81,1.35,0.31,1.25,0.31,0.73,1.87,0.1,0.1,0,0.21,0.21,0,0,0,0.1,16.23,0,0,0.1,1.04,4.16
22Month,0.96,0.82,0.14,0.41,0,0,2.46,0.14,14.07,0.55,0.68,0.82,0,0.55,2.6,1.5,0,0.41,0.14,0,0.14,0.14,0.14,0,5.74,0.14,0.14,0,0,1.91
