stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,53,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,1.13,3.95,0,0,0.28,0,0,0.85,0.28,0,0,0
21Day,0.37,0,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0.1,0.31,0.1,7.49,0.31,0,0.42,0.83,0,3.22,1.66,0,1.25,11.86,0.42,1.14,1.14,0.31,0.73,1.04,6.24,0.21,1.14,0.1,0,0.21,4.26,0.1,0.1,0.42,97.57,1.66
22Month,0.14,0.14,0.27,0.68,0,0.14,0,1.09,0.14,0.82,0.14,0.14,0,0.82,0,0.27,0,0,0.14,0,1.64,0,0.41,0,0,0,0.68,0.14,0,0,0.14,0.14
