stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0
3Month,0.62,0.1,0.21,0.31,0.21,0.1,0.1,0.21,0.1,0.1,0,0.52,6.03,0.1,6.03
