stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,25,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,0,0,0,0,0,0,0,0.28,2.54,0,1.69,0,0.28,0.56,1.97,0,0.28,0,0,0.56,0,0.28,0,0
21Day,0,3.7,0,0,0,0,0,0.74,0.37,0,1.11,0.74,1.11,0,0,0.74,0.37,0,0.74,0,0,1.11,0,0,0,0
3Month,0,0.31,0,0.21,0,0,2.08,0,0.31,0,0.1,0.31,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1
22Month,0.14,0.55,0.14,0.14,0.14,0.55,10.11,0.41,2.6,0,0.27,0.96,1.37,0.27,0,0,0,0.14,0,0,0,0,0.14,0,0,0
