stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.28,0,0,9.58,2.25,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0.74,0.74,0.74,0.37,0,2.59,0.37,1.85,0.37,16.65,5.55,0.74,0.37,1.48,1.11,0.74,0.74,0.74,0.37,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,0.41,0,0,0,0
