stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,325,3,110,1,1,0,0,8,0,2,7,2,4,239,0,8,482,1,17,0,0,0,0,22
72hpf,5.07,0,8.46,0,0.56,0,0,0,0,0,7.89,0.85,0.28,12.4,0.28,8.74,17.19,0.56,11.84,0,0.28,3.66,1.41,14.09
21Day,0.74,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0.74,1.11,0,1.48,0,0,0.37,1.11,0.37
3Month,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0.21,0,0,0,0.52
