stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,0.56,0,0,9.02,2.25,0,0,1.13,0,0,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,1.11,0,0,2.59,0.74,0,0,0.74,0.74,0,0,0,0.37
3Month,0,0.21,0.1,1.04,0,0.1,0,0,0.94,0.1,0.1,0.21,0,0.21,0.21,0.62,0.1,0.1,0.21,0,0.31,0.21,0,0.21,15.29,0,0.21,11.13
22Month,0,0.14,0,0.55,0.14,0,0.14,0.14,0.41,0.41,0.27,0,0,0,0.14,0.41,0.14,0.14,0,0,0.14,0.27,0,0,1.78,0,0,0
