stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0.56,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0
3Month,0.1,0.21,0.1,0,0.1,0,0,0.21,0.1,0.1,0.1,0.1,0,2.08,0,0.1
22Month,0,0.14,0,0,0,0.14,0.14,0.82,0.14,0,0,0,0,0,0,0
