stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,1,0,2,0,0,0,0,0,0,0,0,1,0,1,4,0,0,25,2,21,0,0,0,0,0,0
72hpf,0,0,3.38,0.56,1.69,0,0,0,0.28,0,0,0.28,0.85,0.28,1.41,0.28,0,42.84,18.04,8.17,1.97,0,1.41,0.56,0.56,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0,0
3Month,0,0,0.62,0,0,0.21,0,0,1.04,0,0.31,0,0.21,0.1,0.21,0,0.1,0.31,0.1,0,0,3.54,0,0,0,0.31
22Month,0,0.14,0.14,0,0,0,0.27,0.27,1.91,0.14,0.27,0,0.14,0,0.14,0,0,0,0.14,0,0,4.78,0,0,0,0
