stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,1.13,0.28,0,0.56,0,0,0,0
21Day,0.37,0,0,1.48,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,2.59,0,0,0,0
3Month,0,0,0.1,6.76,0.1,0.1,0.1,1.35,0.21,0.42,0.62,0.42,0.31,0.83,0.21,0.1,27.67,0,0.1,3.33,0.62,0.1,0.73,0.31
22Month,0,0.27,0,12.57,0,0,0,2.32,0,0.14,0.14,0,0,0.41,0.41,0,1.23,0,0,0.55,0.14,0,0,0
