stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,0,1.13,0,0,0.85,0,0.56,0
21Day,1.48,0.37,0,0.37,0,0,0,1.48,0.37,0.74,0,0,0,0
3Month,0,0,0.21,0,0,0,0.21,0.1,0,0,0,0.1,0,0.21
22Month,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0,0,0
