stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,55,0,0,0,0,0,0,0
72hpf,0.56,0,2.25,1.13,1.13,0,0,0,0,0,0,0,1.97,0,4.51,0,0,39.46,12.97,1.41,0,0.56,0.28,0,0,0
21Day,0,0,0.74,0.37,0.37,0,0,0.37,0,0.74,0,0,0.37,0,7.03,0,0,8.88,5.55,1.85,0.37,1.48,0,0,0,0
3Month,0,0.21,0.62,0,0,0.1,0.21,0.31,0.1,0,0.1,0.1,0,0.1,1.66,0.21,0,0,0.1,0.1,0.42,0.1,0.21,0.21,0.21,0.31
22Month,0,0,0.55,0,0,0,0.14,2.19,0,0,0.68,0,0.14,0,1.09,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0.14
