stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,4,3,0,2,24,0,3,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0.28,0.28,1.69,0,1.97,3.38,0,1.69,0,0.28,0,0.28,0
21Day,0.37,0.74,4.07,1.11,0.74,0,0,0.74,0,0.74,2.96,0.37,2.59,0,1.11,1.48,0.37,0.74,0.37,0,0.37,0.37,1.11
3Month,0,0,0,0,0,0.31,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
