stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0.56,0,0,0.28,0,0.85,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37
3Month,0.21,0.1,0,0,0.1,0,0,0.1,0.21,0.1,0.42,0,0,0.1,0,0.1,0,0,0.31,0,0.31
22Month,0.96,0.14,0.14,0.14,4.24,0.14,0.55,0,0.27,0,0.41,0.14,0.27,0.14,0,0,0.14,0,0.14,0,0
