stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.89,0.28,0,0,0,0,0,0,0,0,0,0.56,0,2.54,0,0.56,0.56,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0,9.99,0.37,0,0.37,0,0,0,0,0.37,0,0,1.11,0,14.43,0.37,0,0.37,0,0.37,0,7.4,1.11,0,0,0,0,0,0
3Month,0.1,0.21,0.1,16.64,0,0.21,0.1,0.31,0.83,2.39,0.73,0.31,0.52,0.42,16.85,0.73,4.58,25.38,0.73,0.31,0,0.1,0,0.42,0.42,0.73,0.1,0,0.1,0.31,0.31
22Month,0,0,0,2.19,0,0.14,0,0,0.68,3.83,0,0.27,0.82,0,1.64,0.14,4.78,3.42,0.14,0.27,0,0,0.14,0.27,0.14,0.96,0,0.14,0,0,0.14
