stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,2.25,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0.37,0,1.11,0,6.29,0,1.11,1.48,0,0,0,0.37,0.74,0.37,0
3Month,0,0,0,5.93,0.31,0,0.94,0.1,0,1.25,0.1,0,1.14,0.21,1.87,0.1,0,0.1,0.1,0,0.42,0,0.31
22Month,0,0.55,0.14,1.5,0.41,0.14,3.69,0.14,0.14,0.96,0,0.14,2.32,0.27,2.32,0,0,0,0,0,0.55,0,0
