stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,3,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,9,0,0,0,7,31,0,0,0,3,0,0,0,0,0,1,0,0,0
72hpf,5.07,1.13,0,1.69,2.25,0,0,0,0,0,0,0,0,0,0.85,3.95,0,10.43,0,0,0,7.33,16.07,0,0.56,0,15.5,0,0,5.07,0,0,2.25,0,0,0
21Day,12.58,0.74,0.37,3.7,0.74,0.37,0,0,0,0,0,0,0,0.37,0.37,1.48,0,17.39,0,2.22,0.37,4.07,6.66,0,1.85,0,7.4,1.11,0,2.22,0,0.37,0.37,0,0,0.37
3Month,0.42,2.29,0,9.05,0.1,0,0.31,0.62,0.73,0,2.39,1.46,0.1,0.73,0.42,2.5,0.42,7.07,3.64,1.25,0.52,0.31,0.31,0.52,0.94,0,1.35,0.31,1.46,0.21,0,0,0.1,3.74,0.21,0.21
22Month,0.27,3.28,0,3.96,0,0,0.14,0.68,0.96,5.19,5.06,0.27,0.14,0.41,0,0.96,0.41,1.91,0,0.27,0,0,0.14,0,0.14,0.14,1.09,0,0.96,3.42,0.14,0,0.14,0.41,0,0.14
