stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,11.27,7.61,0,0,0.56,0,0,0.28,0.56,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,1.85,0,0,0.37,4.44,1.11,0,0,0.37,0.37,3.33,0,2.22,15.91,0,0,0.37,0.37
3Month,0,0.42,0.21,2.6,0.1,0.1,0,0.31,1.35,0,0,1.04,1.77,0.1,0.73,0.31,1.77,1.56,0.62,0.21,0,0.1,0.21,0,0,0,0.1,0.21,10.51,0,0,0,0,0.52,4.68,0.83
22Month,0,1.09,0.27,2.6,0.27,0.14,0.14,0.14,6.83,1.37,0,10.25,1.5,0.14,3.01,0.14,0.68,3.96,2.05,0,0.82,0.41,0.14,0,0.14,43.59,0.27,0.14,10.25,0.27,0.27,0,0,0,0.14,0.82
