stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,5,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0.28,1.97,0.56,0.28,0,0,1.41,0,0,0.28,0,0,0,0
21Day,0.37,1.11,0,5.55,0,0.37,0,0,0,0,0,0,1.48,0,0,2.22,1.48,0.37,0,0.37,0.37,0,0.37,0.37,0.37,0,0,0.37
3Month,0,0.42,0,1.77,0.1,0,0,0.73,0.94,0,0.83,1.66,0.1,0.83,0.1,0.31,1.35,0.1,0,0.1,0.21,0,0.1,0,0.1,0.21,0.1,0.83
22Month,0,0.41,0.27,0.68,0,0,0.27,0.27,2.6,0,1.64,0.82,0.41,0.55,0,0,2.19,0.27,0.14,0.14,0,0,0,0,0.14,0,0,0.55
