stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,3.38,0.56,0,0,0,0.28,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0.37,0,0,0
3Month,0.1,0.73,0,0,0.21,0,0.73,0.1,0.1,0.1,0.21,0.31,0.1,0.1,0.1,0,0.1,0,0.31,0,5.72
22Month,0.14,0.27,0,0,0.27,0.14,2.05,0,0.55,0,0,0.68,0,0,0,0,0,0,0,0,0
