stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,19.98,0.37,0,0,0,0,0,0,0,0,0.37,4.81,0.37,1.11,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.21,0.31,0.21,50.24,0,0.73,0.62,1.46,0,3.64,1.25,0.1,1.25,0.94,126.07,1.77,1.14,0.31,0.1,0.21,0.31,0.1,0.42,0.1,0.62,1.04,0,0,0.31,0.62,1.04
22Month,0,0,0,6.97,0,0.14,0.27,0.55,0.14,2.87,0.27,0.14,0.14,0.14,18.72,2.6,0.41,0,0.14,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0
