stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,2,0,0,0,0,0,7,0,0,1,0,0,2,9,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.56,0,1.97,0.56,0,0,1.13,0,0,0,0,0,0,0.28,4.51,0,1.41,0,0,0,0,26.49,13.25,0.28,0.28,0,8.46,0,0,0.56,0,0,0,0
21Day,2.59,0.37,0,2.59,0,0,0,2.59,0,0,0,1.85,1.48,0,0,0.74,0.74,2.22,0,0,2.59,0,8.51,7.03,0,0,0,2.22,0.37,0.37,0,0,0.37,0,4.44
3Month,0,0.21,0.21,1.98,0,0.1,0.1,9.15,0,0,2.18,23.61,0,1.46,0.42,0.52,1.98,2.7,0.42,0,8.01,0.1,0.21,0.21,0.42,0.31,0,0.52,0.21,1.14,0.1,0,0,0.83,2.08
22Month,0,0.41,0.41,1.09,0,0.27,0.14,20.5,0.14,0,3.69,8.75,0,0.14,0,0.14,2.19,2.46,0,0.14,2.87,0,0.55,0,0.27,0.27,0.14,0.14,0,0.14,0.27,0.14,0,0.68,0.96
