stage,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.13,0.56,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,2.22,0,0,0.37,0,0
3Month,0.1,0,0.1,0.1,0,0,0.21,0.1,0,0,0.1,0,0.1,0
22Month,0,0.14,1.23,0.14,0.14,0.27,0.96,0,0,0.27,0.55,0,0.14,0.14
