stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,4,0,16,0,0,0,0,0,1,0,0,0,0,1,0,6,15,0,0,0,0,3,105,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.56,0.56,0,0,0,0,0,0,0,0.56,0,1.69,3.38,0,3.38,0,0.56,0,0.56,9.58,9.02,0,0.28,0,1.69,0.56,0,1.13,0,0.28,0,0,0
21Day,1.85,0,0,8.14,2.22,1.11,0,0,0,0,1.48,0,1.11,0.74,0.37,2.59,1.11,4.44,0,0.37,0.74,0,5.18,4.44,0,0,0,0.37,1.48,0.37,0,0.37,0,0,0,1.48
3Month,0,0,0,2.7,0,0,0.52,0.42,0,0,3.12,0.21,0.1,2.29,0.42,1.04,0.21,0.42,0.31,0,0,0.1,0.1,0,0.31,0.1,0,0.1,0.1,3.95,0,0,0,0.1,1.25,0.94
22Month,0,0.55,0.14,2.05,0,0,0.41,3.28,2.32,0,8.61,0.27,0.41,2.19,0,0.55,0.96,0.82,0,0.55,0.14,0,0.41,0,0.14,0.27,0.14,0,0,0.14,0.14,0,0,0,0,0.27
