stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,4,105,1,2,0,0,0,1,0,0
72hpf,0.85,0.85,0.56,0.56,0.28,0,0,0,0,0,0,0,0.28,1.41,0,3.38,0,0.56,0,0.28,5.64,13.53,0,2.82,0,0,0.28,0,0,0
21Day,1.85,0,2.96,0.37,0,0,0,0,0,0,0,0,0.37,0,0,2.59,0,0,0,0,3.7,3.7,0.37,1.48,0,1.11,0,0.37,0,0
3Month,0,0,0.42,0,0,0.21,0,0.21,0.62,0.21,0,0.52,0,0,0.21,0.1,0.1,0,0.1,0,0,0.21,0,0,0.1,17.47,0,0,1.98,0.21
22Month,0,0,1.64,0,0,0,0.14,0,1.78,0.14,0.14,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.41
