stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,2.22,0.37,0,0,0,0,0,1.48,0,0.37,0,0,0.74,1.11,0,0
3Month,0.1,0,0.21,0,0,18.52,0.31,0.21,0,0.21,0.1,0,0,0,0.21,0.1,0,0,0,0.21,0.31
22Month,0,0.27,0.14,0.27,0.27,27.74,0.41,0.14,0.14,0.41,0,0.55,0,0,0,0.14,0.27,0,0,0,0
