stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,9,0,1,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,33.54,0,1.13,0,1.41,3.38,0,0.56,0,0,0,0,0,0
21Day,8.14,0.37,0,0,0,0,0,0,24.42,0,1.48,0.37,0,0.74,0,0,1.11,0,0.37,0,0,0
3Month,10.82,0,0.31,0.1,0,0.94,0.21,0.52,0.42,0.31,0,0,0.1,0,0,0,0.1,1.35,0,0.1,6.35,0.1
22Month,0,0,0,0,0.14,1.5,0,0,0,0,0.41,0,0,0,0.14,0,0,0.96,0,0,0,0
