stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,0,0,0,0,8,68,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,3.38,0.56,0.56,0,0.56,0,0,0,0,0,0,0,0,3.1,5.92,0.28,4.23,0,0.56,0,1.41,20.29,9.86,0,0.85,6.76,0,0,5.92,0.28,0.56,1.41,0,0,0
21Day,4.81,0.74,1.48,22.2,0.37,4.44,0,0,0.37,0,0,0,0.74,0,3.7,2.22,4.07,5.92,1.48,19.98,0,0.37,1.11,7.4,11.84,8.51,0,0,8.14,2.59,0.37,2.22,1.11,2.59,10.36,0,0,1.48
3Month,0.1,0.42,2.18,4.89,0,0,0,0,0.52,0.62,0,0,4.68,1.14,0,2.6,1.87,2.5,0.94,0.83,0.42,0,0.52,187.54,0,0.21,0.42,0,0,0.62,1.77,0.1,0.21,0,1.87,0.31,1.46,1.56
22Month,0.14,0.41,2.19,7.52,0,0,0.14,0.14,3.28,1.23,1.91,0,7.93,0.27,0.96,8.2,0.41,2.73,3.14,3.42,0,0.41,1.78,13.53,0.27,0,2.05,0.14,0,0.14,3.55,0.41,0.14,0,0.41,0.27,0,1.64
