stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.56,1.69,12.97,1.13,0.28,2.25,0,0.28,0.28,1.13,0
21Day,2.59,1.48,0.37,0,1.11,4.07,9.99,2.22,0,0,0.37,0,0.37,1.11,1.11
