stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,2,1,0,0,1,6,1,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0.56,0,0,0,0.56,1.41,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0.37,0,0,1.11,0,0,0,0,0
3Month,0.21,0.42,0.42,0.62,0,0,0.1,0,0.1,0.1,0,0,0,0,0.21,0,0.31
22Month,0,1.91,0.27,0.14,0,0.27,0,0.27,0,0,0.14,0.14,0,0,0.14,0.14,0.14
