stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,1,0
72hpf,0,0.28,0,0.28,1.41,0,0,0,0.28,0
21Day,0,0,0,0,0.74,0,0,0.74,0,0
3Month,0,0,0,0,0,0,0.1,0.1,0,0.1
22Month,0.14,0,0.27,0,0,0,0,0,0,0
