stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,4.07,0,0,0,0
3Month,0.1,0.31,0,0.1,0.52,0.1,0.21,0.1,0.1,0.52,0,0.21,0,12.48,0.1,3.43,1.04,0.21
22Month,0,0,0,0.14,0.41,0,0.68,0,0,0,0.14,0,0,4.51,0,0.82,0,0
