stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,3.66,0.28,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.85,3.33,0.74,0,1.11,0,0,0,0,0,1.85,1.48,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.74
3Month,0,0.52,2.81,15.6,0,0.31,46.91,2.7,0,8.74,2.5,0.1,163.41,6.03,1.87,3.12,2.5,0.21,0.1,1.14,6.14,0.1,1.25,0,0,0,1.25,2.08,0,0.1,0.62,2.18,1.25
22Month,0.14,0.82,3.96,6.83,0,0.27,16.81,1.64,0.96,20.22,0.96,0.27,162.07,1.23,0.41,2.87,2.32,0.14,0.82,1.64,0.27,0,0.55,0.27,0.27,0.14,0.68,0.55,0.14,0,0,0,0.41
