stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.56,0,0,0,0,0,0,0,6.2,10.71,0,0.56,0,0,1.41,1.41,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,2.59,0.37,0,0,0,0,0.37,0,0.37,9.99,7.03,0,0,0,0,0.74,0.74,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0,0,0.52,2.91,0,0.1,0.21,0.21,0,7.59,0.31,7.28,2.29,0.21,0.21,0.21,0,0.42,0,0,0.1,0,0.42,0.1,0,0,0.1,0.21,0.1
22Month,0,0.14,0.27,0.55,0,0,0.27,0.41,0.82,7.11,0,3.42,0.41,0,0,0.14,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0.14
