stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,2,0,0,0,1,3,1,20,0,0,0,1
72hpf,0.56,0,0.28,0.56,0,0.85,0.56,1.41,1.13,1.69,0.28,0.56,0,0
21Day,0.37,0.37,3.33,0,0.37,0,1.48,1.85,0.37,0.74,0,0,0.37,0
