stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,1.11,0,0.37,0,1.11,0,0,0,0,0,0
3Month,0.1,0.1,0.62,0.52,0.42,0.1,0.52,0.42,0.1,0.1,0.1,0,0.1,2.29,0,0.1,8.11,0.21
22Month,0,0,0.14,0.55,0,0,0,0.27,0,0,0,0,0,0,0.27,0,0,0
