stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.79,0.56,0,1.41,0.56,4.79,0,0,0,0,0.56,0,0,0,1.13,0,0.56,5.92,0,3.95,0,0.85,0.28,378.52,17.76,4.23,18.04,0,3.1,0,0,12.97,0.56,0.28,0,0,0
21Day,0,0.74,0,5.92,0,3.33,0,0.37,0,0,0.37,0,0.37,0.37,3.33,0.74,0,2.59,1.48,4.44,0,0,0,132.09,6.29,7.03,8.14,0,0.74,4.44,0.74,1.85,0.37,1.85,0,0,1.85
3Month,0,0,0.1,0.73,0,0,0.1,0,0.21,0.21,2.39,0,2.08,0.31,1.87,0.62,0.42,0.1,1.14,1.25,2.39,0,0.1,0.83,0,5.93,0.52,0,0,0.21,1.87,0.1,0,0,0,0.21,0.94
22Month,0,0.14,0,0.82,0,0,0,0.14,0,0.27,1.09,0.27,6.7,0.27,0.55,0.82,0.27,0,0.96,2.19,0.14,0,0,0.82,0.14,8.61,0.41,0.14,0,0,5.06,0,0.14,0,0.14,0,0.55
