stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,9.58,0.56,0,0,0,0,0,0,0,0.28,2.82,0,19.17,0,0,0,0,5.36,1.69,0,16.63,0,0,0,0,0
21Day,3.7,0.74,0,5.18,0.74,0,0.37,0,0,0.37,0,0,0,1.48,0,45.88,0.74,0,8.88,0,4.81,0.74,0.37,11.84,0,0.37,1.11,0,0
3Month,0.1,0,0.1,0.83,0,0.1,0.42,0,2.6,2.81,0.1,0.31,0,0.73,0.31,4.47,0.73,0,0.21,0.1,0,0,0,0,0.42,0,0,0.21,0.42
22Month,0,0.14,0,1.09,0,0,0.55,0.14,8.75,9.16,0.14,1.37,0,0.14,0.27,1.37,0.14,0.27,0.14,0,0.14,0,0.14,0,0.96,0,0,0,0
