stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,9.02,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.56,0,0,0
21Day,29.23,1.48,1.85,0.37,0,0.37,0.37,1.11,0.74,3.7,0.74,0.37,1.11,0,0,0.37,0.74,0.37
3Month,0.21,0,0,0.1,0.1,0,0,0.21,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.41,0,0.27,0,0,0,0,0,0,0.14,0,0,0,0
