stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,20.86,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.86,0.85,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,15.17,0.37,1.11,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.74,0,0.37,0,7.77,0,0,1.11,1.48,0.37,0,0.37,0,0,0,0
3Month,0,10.92,0,1.35,0,0,0,0.31,0.52,0,0,3.12,0.21,0,0.73,0.21,0.62,0.52,0.83,0.31,0.1,0,0.1,0.1,0,0.31,0.42,0,0,0.42,0.21,0.42
22Month,0,39.08,0,0.68,0,0.14,0.27,0.14,0.27,0.55,0,9.57,0.55,0.14,0.68,0,0.41,0.55,0.82,0,0.41,0,0.14,0.14,0.14,0.14,0.14,0.14,0,0,0,0.14
