stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,98,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,6.48,0.28,0,0,0,0,0,0,0,0.85,124.01,0.28,0.85,0,0,7.33,3.38,0,0,1.13,0,0,1.69,0,0,0
21Day,1.48,0.37,80.29,1.11,0,0,0,0,0.74,0.37,0,15.54,86.58,0.37,2.96,0,5.18,3.7,1.48,0.37,0,1.11,1.48,0,1.11,0.37,0,0
3Month,0,0.1,22.47,0,0.1,0.21,0,0.83,0.52,0.1,0.52,0.83,0.42,0.31,0.21,0.1,6.24,0,0,0.1,0.21,0,0.21,0.73,0.1,0,0.1,0.1
22Month,0,0.27,3.14,0,0,0.14,0.14,3.28,0,0,0.14,0.41,0,0.14,0.41,0,1.5,0,0,0,0,0,0,0.27,0,0,0,0
