stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0.56,0,4.51,1.41,0,0,0,0,0
21Day,0.74,0,1.48,0.74,0.37,0,0,0,0.37,0.37,1.11,0.37,1.85,1.11,1.48,0.74,0,0.37,0.37
3Month,0,0.1,0.21,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.21,0,0
22Month,0,0,0.14,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
