stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.85,0,0,0,0,0,0,0,0,0,1.13,0,0.85,0,34.95,1.41,0.28,0,0.28,0,0,4.51,4.51,0.28,0,0,0
21Day,0,0.74,0.37,0.74,0,0,0,0,0,0,0,0,0.74,0,1.48,0,15.17,0.37,0,0,0,0.74,0,2.96,2.96,0.74,0,0,0
3Month,0,0.21,0,0,0.1,0.1,0.1,0,0.62,0,0.1,0,0.21,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.31,0.52,0.1
22Month,0.14,0.14,0,0,0,0,0.14,0.14,2.19,0.14,0,0.27,0.14,0,0.55,0,0,0,0,0.14,0,0,0.14,0,0,0.14,1.91,0,0
