stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0.56,0,0,0,3.66,0.28,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,1.11,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0.37,0,2.59,0,0,0,0,0,0,2.96,0,0,0,0,0,0
3Month,0,0.31,0.52,2.91,0.1,0,0.31,0.1,0.62,0.62,0.1,0,5.72,1.77,1.56,0.52,1.14,0.94,1.35,0.42,0.42,0.21,0.31,0.1,0.42,0.1,0,0,1.56,142.5,0.1,0.1,0.1,1.14,101.42,1.04
22Month,0,0,0,0.41,0,0,0,0,0.14,0.41,0,0,2.32,0,0.68,0,0,0.55,0.14,0,0.14,0,0,0,0,0,6.97,0,0,16.94,0.14,0,0,0,0.41,0.14
