stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,1.97,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0.28,0,11.27,1.69,0,0,0.85,0,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,1.11,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,4.07,0.37,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0
3Month,0.21,0.1,0.21,14.67,1.14,0,0.21,0.52,0.73,6.24,0.83,1.77,1.25,1.66,0.31,1.04,0.21,0.42,0.21,2.18,0,1.87,0.21,0.1,0.52,20.8,0.31,0,0,0.1,0.52,186.4,0.94
22Month,0.14,0.14,0,2.87,0.14,0,0,0,0.68,2.6,0.14,0.14,0,0,0.27,0.41,0,0,0,0.27,0,1.09,0,0,0,8.34,0,0,0,0,0,0.55,0.14
