stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,1.69,7.33,1.69,0.85,0,0,0.56,0,0.28,3.66,0.28,29.31,0.28,20.57,32.13,0,0.28,3.66,0,0,3.1,0.28,0,0.28,0,0
21Day,0,0,0.74,5.18,0,2.59,0.74,0,1.85,1.85,0,0.37,4.44,0.74,28.86,1.11,7.77,12.21,1.11,0,2.96,1.48,0,1.48,0.74,0.74,0.37,0,0.74
3Month,0,0,0,0.21,0,0,0,0,0.1,0,0.1,0,0.1,0,0.31,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0,0.14,1.64,0,0.14,0,0,0.27,0.55,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
