stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,13,5,0,29,0,0,0,0,0,0,0,1,0,0,0,0,2,15,28,36,0,0,0,8,71,0,6,0,0,0,0,0,0,0,0,0
72hpf,2.82,1.41,0,9.86,0.28,0.28,0,0.28,0,0.28,0,0,0,0,1.13,0,5.07,16.35,1.41,13.25,0,0.56,0.56,49.89,15.22,0.56,12.4,0.28,0.28,2.82,0.85,0.85,0.28,0,0,0
21Day,6.66,0.74,0.37,29.97,0,3.33,0,4.07,0,0.37,0,0,0,0.37,11.1,5.55,1.85,14.06,3.7,24.05,0,0,1.11,18.5,12.58,1.11,11.84,3.33,0,1.85,0.74,2.59,0.37,0,0,7.03
3Month,0,0.62,0.21,2.7,0,0,0.21,0,1.14,0.94,0,0,3.12,1.87,0.52,2.81,0.1,2.5,1.77,1.35,0.21,0,0.21,0,0,0.31,0,0,0.73,0,0,0,0,0.52,0.21,1.04
22Month,0,0.55,0,0.96,0,0,0.14,0.14,0.41,2.32,0.14,0,12.03,0.68,1.37,3.28,0,0.27,2.32,1.5,0,0,0.14,0,0.14,0,0.14,0,0.27,0,0,0,0,0,0,0.55
