stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0
72hpf,0.28,0,0.28,0.85,0.28,0,0,0,0,0,0,0.56,1.41,1.41,0,0,0.28,0,0
21Day,0.37,0,1.48,0,0,0,0,0.37,0,0.74,0.37,0.37,1.11,1.48,0.37,0.37,0,0,0
3Month,0,0.1,0.83,0,0,0.62,0.1,0,0.52,0.21,0,0,0,0,0.21,1.87,0.1,0.1,1.56
22Month,0,0.14,0.41,0,0,0.14,0,0,0.82,0,0,0.14,0.14,0.14,0,0.41,1.5,0,0
