stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,34.67,1.13,0.28,0,0.28,0,0,0.56,0,0,0
21Day,0.74,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0.74,0,0,19.24,0.37,0,0.37,1.11,1.11,0,0,0,0,0
3Month,0,0.1,0.62,0,0,0,0,0.1,0,0,1.66,0,0.1,0.52,0.1,0.21,0.21,0.42,0.31,0,0.31,0,0.83,0,0.1,0.1,0.62,0,0,7.18,0.21
22Month,0,0.41,0.82,0,0,0.14,0.14,0.14,0.82,0.55,21.86,0.41,0.27,1.5,0,0,0.96,1.78,0,0.55,0.68,0,0.14,0,0,0,0.82,0.14,0.14,0,0.27
