stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,2,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,0,0,1.41,4.79,0,0,0.28,0,0,0,0,0,0.56,0,0,0
21Day,0.74,0,0,4.07,0.37,1.85,0,0,0,0,0,0.37,0,0.74,0.37,0.74,1.85,0.37,2.59,0,0,0,0.74,4.44,1.85,0.37,0,4.44,0.37,0.37,0,30.34,189.06,1.11,0,0,0.37
3Month,0.21,0.1,0,1.77,0,0,0,0.52,0.31,0,0,14.04,0.73,0,0.42,0.31,0.42,0.21,0.31,0.21,0.1,1.04,2.81,0,0,0.1,0,0,0.52,22.05,0.1,0,0.1,0.1,0.1,1.46,0.31
22Month,0,0.27,0.14,0.68,0,0,0.14,0,0.41,0.14,0,11.34,0.27,0,0.41,0,0.14,0.27,0.68,0,0,0.27,0.41,0,0,0,0.55,0,0,4.37,0,0.82,0.27,0,0,0,0.27
