stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,61,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,64.83,0,0.56,0.28,0.56,0,0,0,0,0,0,0.28,0,0.28,1.13,0.28,2.25,0,8.74,2.54,0,0.85,0,0.28,0,0,0,0,0
21Day,0,29.6,0.37,0.37,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0.74,0,5.18,0,1.48,1.85,0,0.74,0,0,0.37,0.74,0,0,0
3Month,0,22.47,0.1,0,0,0,0,0.1,0.21,0,0.94,0.21,0,0.42,0.1,0,0,0.1,0.1,0,0.1,0,0,0.21,0,0,0,0.21,0.21,0
22Month,0,100.44,0,0.68,0,0,0,0,0.55,0.68,4.65,0.27,0.27,0.55,0,0,0.41,0.82,0.41,0.27,0,0.41,0,0,0,0,0,0.41,0,0.41
