stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,1,2,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.85,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0,0,0,0.37,0.37,0,0.37
3Month,0,0,0,0,0,0,0.1,0,0,0,0.1,0.21,0.1,0
22Month,0,0,0,0,0.68,0.14,0,0,0,0,0,3.01,0,0
