stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.28,0,0,11.27,1.13,0.28,0,0,0,0,0,0.28,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,4.44,0,0,0.37,0,0,0.37,0.37,0.37,0,0
3Month,0,0.31,0,0,3.85,0.1,0.21,0.21,0.21,0.1,0,0,0,0,0,0.1,0.42,0,0,0,0.1,0.1
22Month,0.14,0,0,0.14,2.6,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
