stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,1.97,0.28,0,0,1.13,3.1,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,1.11,0.37,0,0,3.7,15.91,0
3Month,0,0.31,0,0.1,0,1.35,0.1,0,0.42,0.31,0.1,0.1,0.21,0,0,0,0,0,0,0,0.62,0,0,1.35
22Month,0,0.27,0,0.14,0.41,3.28,0.27,0.27,0.41,0,0,0,0,0.14,0.14,0.14,0,0,0,0.14,0.27,0,0,0
