stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,1,2,5,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0.28,0.85,5.36,3.95,0.56,0,0,0.85,0
21Day,0,0,0,0.74,0,0,0,1.11,3.33,0.74,0,0,0,0,0
3Month,0.21,0,0.62,0,0,0.1,0.31,0,0,0,0,0.1,0.1,0,0
22Month,0,0.14,2.46,0,0.14,0,0,0.14,0,0,0,0,0,0,0.27
