stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0.28,0.28,0.56,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,28.47,0.56,0.28,0,0.85,0,0,0.56,0,0,0
21Day,0,1.48,0.74,0,0,0,0.37,0,0,0.74,0.37,0,0.74,1.85,0,0.37,0,61.42,0.74,1.11,0,0.74,1.11,0.37,0.37,0.37,0,0.37
3Month,0,0.62,0,0,0.21,0,2.39,0.1,0.1,0.31,0.1,0.21,0.42,0.42,0,0.31,0.42,0.73,0,0,0,0,0.1,0.42,0,0,0.1,0.21
22Month,0.14,0.27,0,0.14,0.41,0.27,9.84,0,0,1.37,0,0.14,0.82,1.37,0.27,0.14,0,0.96,0,0.27,0.14,0,0,0.41,0.55,0,0,0
