stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.69,0.56,1.69,0,0,0,0,0,0,0,0,1.13,3.66,0.28,2.25,0,0,0,189.12,3.95,0.85,0.28,4.23,0,0.28,0.85,0.28,0,0.56,0,0,0
21Day,0.37,0,0.37,3.33,0.37,0.74,0,0,0,0,0.37,0,0.74,0,0,1.11,0,3.7,0,0,0,43.29,0.37,2.59,0.74,0.37,0,1.48,0.74,0.37,0.74,0,0,0,0
3Month,0,0.1,0.21,6.03,0,0,0,0.62,0.31,0,2.39,0.31,0,0.21,0.21,0.73,0.52,0.52,0.21,0,0.1,0.94,0.21,3.64,0,0,0.1,10.61,0,0,0,0.1,0.31,9.36,0.1
22Month,0,0,0,0.82,0,0,0,0,0.55,0.14,5.6,0,0.14,0.55,0,0,0.14,0.55,0,0.14,0,0.55,0.14,1.37,0,0,0.14,11.62,0,0,0,0.14,0,0.27,0.14
