stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.1,0.28,0.28,0,0,0,0,0,0,0,0.28,14.94,0,7.33,0,0,0,0,28.47,1.13,0.28,0,2.25,0,0,0.56,0,0,0.85,0,0,0
21Day,2.59,0,0,11.47,0.37,0.37,0,0,0,0,0,0.37,0.37,0,17.39,0,20.35,0,0,1.11,0,5.92,2.96,0.37,0,3.7,0.37,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0,0,1.46,0.1,0,0.1,0,0,2.39,0.21,0,0.52,0.1,1.66,0.21,3.95,0.21,0,0.31,0.21,0,0,0,0,0,0.1,2.39,0.1,0,0,0,0,1.66,0.42
22Month,0,0.14,0.27,0.68,0,0,0.82,0.96,0,13.12,0.27,0,0.55,0,0.82,0.55,5.47,0,0.14,0.27,0,0.14,0,0.27,0.14,0,0,0.55,0.27,0,0,0,0.14,0,0
