stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,11,0,0,1,0,0,0,0,0,0
72hpf,3.95,0.28,0,2.25,1.41,1.69,0,0,0,0,0,0,0,0,0,0,0.28,2.82,0.85,3.1,0,0,0,234.78,10.43,0.56,0.56,5.07,0,0.28,2.82,0,0,0
21Day,2.22,0,0,2.96,0.37,2.96,0,0.37,0,0,0,0,0,0,1.48,0,0,3.7,2.22,1.85,0,0,0.37,81.4,3.7,0.37,0.74,1.48,2.22,0.37,1.85,1.48,0,0.37
3Month,0,0.62,0,0.73,0,0,0,0,0.21,0.1,0.31,0,1.14,0.1,0,0.52,0,0.62,0.62,1.46,0.1,0,0.21,9.47,0.21,1.66,0.1,0.1,0.1,1.87,0.31,0,2.39,0.21
22Month,0,0.68,0.14,0.27,0,0,0.14,0,0.41,0.14,0,0.14,3.28,0,0,0.41,0,0.14,0.41,2.46,0,0.27,0,2.19,0,1.64,0.14,0,0,5.06,0,0,0.27,0.14
