stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.74,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,1.46,0,0.1,0,0.62,0.21,0.73,0.52,0.21,0.21,8.01,0.62,0.42,0,0.31,0.21,0.1,0,0.1,0.1,0,0.21,0.42,0,0.1,0.1,1.04,1.25
22Month,0.27,1.5,0,0,0.14,2.32,0.27,0.41,0.14,0,0,8.06,0.27,0,0.14,0,0,0,0.14,0,0,0,0,0.27,0.14,0,0,0,1.09
